name,type,asset_type,Name,asset_no,label_location,label_notes,serial_no,model_no,location,description
2 way ceiling speaker (adastra) 00241,equipment,2 way ceiling speaker,adastra,241,back,,n/a,model:952.53uk,mshed AV Store 1st Floor,spray painted gold
2 way ceiling speaker (adastra) 00242,equipment,2 way ceiling speaker,adastra,242,back,,n/a,model:952.53uk,mshed AV Store 1st Floor,
Light (American DJ) 00039,equipment,Light,American DJ,39,Back,,13160692,1226200034-WIFLY Bar QA5 ,BMAG AV STORE,Battery operated event lighting
Light (American DJ) 00040,equipment,Light,American DJ,40,Back,,13160690,1226200034-WIFLY Bar QA5,BMAG AV STORE,Battery operated event lighting
Light (American DJ) 00041,equipment,Light,American DJ,41,Back,,13160691,1226200034-WIFLY Bar QA5,BMAG AV STORE,Battery operated event lighting
Light (American DJ) 00042,equipment,Light,American DJ,42,Back,,13160689,1226200034-WIFLY Bar QA5,BMAG AV STORE,Battery operated event lighting
Light (American DJ) 00043,equipment,Light,American DJ,43,Side,,12499327,1226100257-WIFLY Par QA5,BMAG AV STORE,Battery operated event lighting
Light (American DJ) 00044,equipment,Light,American DJ,44,Side,,13813278,1226100257-WIFLY Par QA5,BMAG AV STORE,Battery operated event lighting
Light (American DJ) 00045,equipment,Light,American DJ,45,Side,,12499328,1226100257-WIFLY Par QA5,BMAG AV STORE,Battery operated event lighting
Light (American DJ) 00046,equipment,Light,American DJ,46,Side,,13813277,1226100257-WIFLY Par QA5,BMAG AV STORE,Battery operated event lighting
Light (American DJ) 00047,equipment,Light,American DJ,47,Back,,13718366,1226200040-ULTRA BAR 9,BMAG AV STORE,Event Lighting
Light (American DJ) 00048,equipment,Light,American DJ,48,Back,,13718365,1226200040-ULTRA BAR 9,BMAG AV STORE,Event Lighting
Mobile Tablet (Apple) 00036,equipment,Mobile Tablet,Apple,36,Back,,DLXNRA2JG5VT,ipad air 2,BMAG AV STORE, 
ipad air with stand (apple) 00214,equipment,ipad air with stand,apple,214,under the stand base,,???,ipad Air,Mshed AV Store 1st Floor,part of contribituion wrap display in floor stand with psu
Mobile Tablet (Asus) 00038,equipment,Mobile Tablet,Asus,38,Back,,D90KBC462906,K008 NEXUS 7,BMAG AV STORE,"Wwifi, 16gb, black"
Amplifier (Behringer) 00017,equipment,Amplifier,Behringer,17,Front,,S1505259386,HA400 Headphone Amp,BMAG AV STORE,Headphone Amplifier
Amplifier (Behringer) 00018,equipment,Amplifier,Behringer,18,Front,,S1500929386,HA400 Headphone Amp,BMAG AV STORE,Headphone Amplifier
Amplifier (Behringer) 00019,equipment,Amplifier,Behringer,19,Front,,S1505267386,HA400 Headphone Amp,BMAG AV STORE,Headphone Amplifier
Audio Mixer (Behringer) 00037,equipment,Audio Mixer,Behringer,37,Bottom,,S1500579AWZ,x18,BMAG AV STORE,
Sensor (Bogen Communications) 00034,equipment,Sensor,Bogen Communications,34,Back,,9320868,ANS501,BMAG AV STORE,auto volume controler
Media Player (Brightsign) 00011,equipment,Media Player,Brightsign,11,Top,,40G16U000800,HD410,BMAG AV STORE,
Media Player (Brightsign) 00012,equipment,Media Player,Brightsign,12,Top,,A2E48L000896,HD1020,BMAG AV STORE,
media player (brightsign) 00204,equipment,media player,brightsign,204,bottom,,x2h43j000786,xd1230,Mshed AV Store 1st Floor,part of contribituion wrap display
meida player (brightsign) 00220,equipment,meida player,brightsign,220,base,,75d4c1000436,ls422,Mshed AV Store 1st Floor,
media player (brightsign) 00221,equipment,media player,brightsign,221,base,,a2e48r000894,hd1020,Mshed AV Store 1st Floor,
media player (brightsign) 00249,equipment,media player,brightsign,249,back,,40f03e000032,hd410,mshed AV Store ground Floor,
projector (casio) 00248,equipment,projector,casio,248,back,,a922baaf14-021188,xj-m240,mshed AV Store ground Floor,
Projector (casio) 00251,equipment,Projector,casio,251,bottom,,A922baaf14-021559,xj-m240,Mshed Office,
projector (casio) 00252,equipment,projector,casio,252,bottom,,A922baaf14-021616,xj-m240,Mshed Office,
Light (ETC) 00022,equipment,Light,ETC,22,Side,,Aug-13,CE Source Four mini,BMAG AV STORE,serial numbers same on two lights
Light (ETC) 00023,equipment,Light,ETC,23,Side,,Aug-13,CE Source Four mini,BMAG AV STORE,serial numbers same on two lights
Light (ETC) 00024,equipment,Light,ETC,24,Side,,May-13,CE Source Four mini,BMAG AV STORE,serial number has partially come off
Light (ETC) 00025,equipment,Light,ETC,25,Side,,Jul-13,CE Source Four mini,BMAG AV STORE,serial numbers same on two lights
Light (ETC) 00026,equipment,Light,ETC,26,Side,,Jul-13,CE Source Four mini,BMAG AV STORE,serial numbers same on two lights
Light (ETC) 00027,equipment,Light,ETC,27,Side,,Aug-13,CE Source Four mini,BMAG AV STORE,serial numbers same on two lights
Light (ETC) 00033,equipment,Light,ETC,33,Side,,Jul-13,CE Source Four mini,BMAG AV STORE,serial numbers same on two lights
"3"" Speaker Driver unit (FU) 00216",equipment,"3"" Speaker Driver unit",FU,216,back,,n/a,FU4-F1,Mshed AV Store 1st Floor,
"3"" Speaker Driver unit (FU) 00217",equipment,"3"" Speaker Driver unit",FU,217,Back,,n/a,FU4-F1,Mshed AV Store 1st Floor,
"3"" Speaker Driver unit (FU) 00239",equipment,"3"" Speaker Driver unit",FU,239,back,,n/a,FU4-F1,mshed AV Store 1st Floor,
"3"" Speaker Driver unit (FU) 00240",equipment,"3"" Speaker Driver unit",FU,240,back,,n/a,FU4-F1,mshed AV Store 1st Floor,
LCD AD Display (Generic) 00209,equipment,LCD AD Display,Generic,209,back,,a3140338,pf22led,Mshed AV Store 1st Floor,romans exhibiton screens
LCD AD Display (Generic) 00210,equipment,LCD AD Display,Generic,210,back,,a3140328,Pf22led,Mshed AV Store 1st Floor,romans exhibiton screens
LCD AD Display (Generic) 00211,equipment,LCD AD Display,Generic,211,Back,,a3130332,Pf22led,Mshed AV Store 1st Floor,romans exhibiton screens
LCD AD Display (Generic) 00213,equipment,LCD AD Display,Generic,213,back,,n/a,n/a,Mshed AV Store 1st Floor,"part of contribituion wrap display Large 40"" display, built in media player "
LCD AD Display (Generic) 00222,equipment,LCD AD Display,Generic,222,back,,1.92E+14,rcs-240cm,Mshed AV Store 1st Floor,10.1 inch lcd monitor
LCD AD Display (Generic) 00223,equipment,LCD AD Display,Generic,223,back,,1.92E+14,rcs-240cm,Mshed AV Store 1st Floor,10.1 inch lcd monitor
LCD AD Display (Generic) 00224,equipment,LCD AD Display,Generic,224,back,,1.92E+14,rcs-240cm,Mshed AV Store 1st Floor,10.1 inch lcd monitor
LCD AD Display (Generic) 00225,equipment,LCD AD Display,Generic,225,back,,1.92E+14,rcs-240cm,Mshed AV Store 1st Floor,10.1 inch lcd monitor
LCD AD Display (Generic) 00226,equipment,LCD AD Display,Generic,226,back,,1.92E+14,rcs-240cm,mshed AV Store 1st Floor,10.1 inch lcd monitor
LCD AD Display (Generic) 00227,equipment,LCD AD Display,Generic,227,back,,1.92E+14,rcs-240cm,mshed AV Store 1st Floor,10.1 inch lcd monitor
digital Photo Frame (Generic) 00228,equipment,digital Photo Frame,Generic,228,back,,ks1977f k 10120082,ks19f,mshed AV Store 1st Floor,
Projector Mount (Gyrolock) 00215,equipment,Projector Mount,Gyrolock,215,top,,n/a,gyrolock,Mshed AV Store 1st Floor,"ceiling mout, base lock, no arm, no projectior attachment,"
universal projector mount (Gyrolock) 00250,equipment,universal projector mount,Gyrolock,250,top,,n/a,gyrolock universal fitting,mshed AV Store ground Floor,
sub woofer (HSS Directional Audio) 00229,equipment,sub woofer,HSS Directional Audio,229,back,,xl130ama0018,SB1,mshed AV Store 1st Floor,
sub woofer (HSS Directional Audio) 00230,equipment,sub woofer,HSS Directional Audio,230,back,,xl130ama0017,SB1,mshed AV Store 1st Floor,
amplifier (HSS Directional Audio) 00231,equipment,amplifier,HSS Directional Audio,231,back,,h15564,HSS-3000 Amplifier,mshed AV Store 1st Floor,
amplifier (HSS Directional Audio) 00232,equipment,amplifier,HSS Directional Audio,232,back,,h15607,HSS-3000 Amplifier,mshed AV Store 1st Floor,
amplifier (HSS Directional Audio) 00233,equipment,amplifier,HSS Directional Audio,233,back,,h15538,HSS-3000 Amplifier,mshed AV Store 1st Floor,
amplifier (HSS Directional Audio) 00234,equipment,amplifier,HSS Directional Audio,234,back,,h15516,HSS-3000 Amplifier,mshed AV Store 1st Floor,
directional speaker (HSS Directional Audio) 00235,equipment,directional speaker,HSS Directional Audio,235,back,,e33615,HSS-3000 Emitter,mshed AV Store 1st Floor,
directional speaker (HSS Directional Audio) 00236,equipment,directional speaker,HSS Directional Audio,236,back,,e32865,HSS-3000 Emitter,mshed AV Store 1st Floor,
directional speaker (HSS Directional Audio) 00237,equipment,directional speaker,HSS Directional Audio,237,back,,e32844,HSS-3000 Emitter,mshed AV Store 1st Floor,
directional speaker (HSS Directional Audio) 00238,equipment,directional speaker,HSS Directional Audio,238,back,,e37679,HSS-3000 Emitter,mshed AV Store 1st Floor,
