Date,Visits,MUSEUM
04-01-2016,802.00,BMAG
04-02-2016,1321.00,BMAG
04-03-2016,1195.00,BMAG
04-04-2016,1508.00,BMAG
04-05-2016,1166.00,BMAG
04-06-2016,1069.00,BMAG
04-07-2016,1190.00,BMAG
04-08-2016,889.00,BMAG
04-09-2016,1808.00,BMAG
04-10-2016,1047.00,BMAG
04-11-2016,0.00,BMAG
04-12-2016,428.00,BMAG
04-13-2016,623.00,BMAG
04-14-2016,534.00,BMAG
04-15-2016,719.00,BMAG
04-16-2016,1655.00,BMAG
04-17-2016,824.00,BMAG
04-18-2016,608.00,BMAG
04-19-2016,527.00,BMAG
04-20-2016,657.00,BMAG
04-21-2016,604.00,BMAG
04-22-2016,594.00,BMAG
04-23-2016,1201.00,BMAG
04-24-2016,928.00,BMAG
04-25-2016,609.00,BMAG
04-26-2016,441.00,BMAG
04-27-2016,508.00,BMAG
04-28-2016,440.00,BMAG
04-29-2016,751.00,BMAG
04-30-2016,2007.00,BMAG
05-01-2016,1451.00,BMAG
05-02-2016,2782.00,BMAG
05-03-2016,358.00,BMAG
05-04-2016,322.00,BMAG
05-05-2016,380.00,BMAG
05-06-2016,395.00,BMAG
05-07-2016,827.00,BMAG
05-08-2016,690.00,BMAG
05-09-2016,597.00,BMAG
05-10-2016,562.00,BMAG
05-11-2016,495.00,BMAG
05-12-2016,425.00,BMAG
05-13-2016,541.00,BMAG
05-14-2016,799.00,BMAG
05-15-2016,624.00,BMAG
05-16-2016,513.00,BMAG
05-17-2016,498.00,BMAG
05-18-2016,533.00,BMAG
05-19-2016,605.00,BMAG
05-20-2016,645.00,BMAG
05-21-2016,2770.00,BMAG
05-22-2016,1314.00,BMAG
05-23-2016,565.00,BMAG
05-24-2016,361.00,BMAG
05-25-2016,623.00,BMAG
05-26-2016,410.00,BMAG
05-27-2016,482.00,BMAG
05-28-2016,1293.00,BMAG
05-29-2016,785.00,BMAG
05-30-2016,1043.00,BMAG
05-31-2016,751.00,BMAG
06-01-2016,1150.00,BMAG
06-02-2016,1102.00,BMAG
06-03-2016,1071.00,BMAG
06-04-2016,798.00,BMAG
06-05-2016,511.00,BMAG
06-06-2016,416.00,BMAG
06-07-2016,525.00,BMAG
06-08-2016,588.00,BMAG
06-09-2016,599.00,BMAG
06-10-2016,561.00,BMAG
06-11-2016,1143.00,BMAG
06-12-2016,955.00,BMAG
06-13-2016,767.00,BMAG
06-14-2016,571.00,BMAG
06-15-2016,797.00,BMAG
06-16-2016,607.00,BMAG
06-17-2016,398.00,BMAG
06-18-2016,1033.00,BMAG
06-19-2016,1141.00,BMAG
06-20-2016,400.00,BMAG
06-21-2016,552.00,BMAG
06-22-2016,811.00,BMAG
06-23-2016,620.00,BMAG
06-24-2016,567.00,BMAG
06-25-2016,1153.00,BMAG
06-26-2016,955.00,BMAG
06-27-2016,538.00,BMAG
06-28-2016,957.00,BMAG
06-29-2016,926.00,BMAG
06-30-2016,668.00,BMAG
07-01-2016,996.00,BMAG
07-02-2016,1297.00,BMAG
07-03-2016,947.00,BMAG
07-04-2016,550.00,BMAG
07-05-2016,892.00,BMAG
07-06-2016,644.00,BMAG
07-07-2016,910.00,BMAG
07-08-2016,609.00,BMAG
07-09-2016,1182.00,BMAG
07-10-2016,854.00,BMAG
07-11-2016,1110.00,BMAG
07-12-2016,923.00,BMAG
07-13-2016,1045.00,BMAG
07-14-2016,834.00,BMAG
07-15-2016,1605.00,BMAG
07-16-2016,1043.00,BMAG
07-17-2016,1068.00,BMAG
07-18-2016,665.00,BMAG
07-19-2016,757.00,BMAG
07-20-2016,437.00,BMAG
07-21-2016,430.00,BMAG
07-22-2016,487.00,BMAG
07-23-2016,858.00,BMAG
07-24-2016,1091.00,BMAG
07-25-2016,1007.00,BMAG
07-26-2016,1137.00,BMAG
07-27-2016,1217.00,BMAG
07-28-2016,1118.00,BMAG
07-29-2016,1037.00,BMAG
07-30-2016,1038.00,BMAG
07-31-2016,774.00,BMAG
08-01-2016,1907.00,BMAG
08-02-2016,2381.00,BMAG
08-03-2016,1192.00,BMAG
08-04-2016,1026.00,BMAG
08-05-2016,667.00,BMAG
08-06-2016,927.00,BMAG
08-07-2016,757.00,BMAG
08-08-2016,1192.00,BMAG
08-09-2016,1150.00,BMAG
08-10-2016,1023.00,BMAG
08-11-2016,1116.00,BMAG
08-12-2016,1030.00,BMAG
08-13-2016,995.00,BMAG
08-14-2016,1329.00,BMAG
