date,count,museum,gallery,,,,
5/14/2016,395,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/15/2016,400,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/17/2016,332,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/18/2016,407,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/19/2016,419,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/20/2016,385,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/21/2016,2080,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/22/2016,924,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/24/2016,525,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/25/2016,659,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/26/2016,531,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/27/2016,1333,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/28/2016,1334,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/29/2016,1121,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/30/2016,1217,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
5/31/2016,899,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
6/1/2016,1090,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
6/2/2016,1143,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
6/3/2016,1122,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
6/4/2016,1142,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
6/5/2016,1022,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
6/7/2016,617,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
6/8/2016,649,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
6/9/2016,728,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
6/10/2016,548,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
6/11/2016,1273,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
6/12/2016,1426,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/1/2016,0,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/2/2016,507,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/3/2016,451,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/4/2016,0,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/5/2016,158,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/6/2016,120,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/7/2016,81,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/8/2016,101,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/9/2016,283,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/10/2016,374,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/11/2016,0,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/12/2016,118,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/13/2016,0,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/14/2016,125,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/15/2016,175,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/16/2016,280,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/17/2016,196,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/18/2016,1,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/19/2016,53,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/20/2016,98,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/21/2016,238,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
7/22/2016,182,M-SHED,TEMPORARY EXHIBITION GALLERY,,,,
