Variant ID,Product Handle,Title,Quantity,SKU,Number Sold,Price,Cost Price,Product Type,Vendor
26406327237,william-morris-words-and-wisdom,William Morris Words and Wisdom - Default Title,0,9781855144941,11,10.00,5.5,Books,Heritage Books
26406327301,william-morris-decor-and-design-2,William Morris: Decor and Design - Default Title,2,9781909815537,5,25.00,13.75,Books,Heritage Books
26408082181,willow-bough-bowler-bag,Willow Bough Bowler Bag - Default Title,0,"",3,30.00,12.9,Fashion including jewellery,AC Jade
26408074117,willow-bough-envelope-purse,Willow Bough Envelope Purse - Default Title,0,"",3,12.50,5.0,Fashion including jewellery,AC Jade
26403898565,windmills,Windmills - Default Title,31,220052,21,3.00,1.2,Kids,House of Marbles
223533989893,winter-stag-christmas-pack,Winter Stag Christmas Pack - Default Title,1,CDP 53X/7,5,5.00,0.0,Stationary and Greeting cards,Canns Down Press Ltd
223481430021,winter-window-christmas-pack,Winter Window Christmas Pack - Default Title,4,CDP 23X/6,2,5.00,0.0,Stationary and Greeting cards,Canns Down Press Ltd
223490867205,winter-woodland-bauble-christmas-pack,Winter Woodland Bauble Christmas Pack - Default Title,1,CDP 10X/6,10,5.00,0.0,Stationary and Greeting cards,Canns Down Press Ltd
223430836229,winter-wreath-christmas-pack,Winter Wreath Christmas Pack - Default Title,3,CDP 34X/6,3,5.00,0.0,Stationary and Greeting cards,Canns Down Press Ltd
7720503050291,women-and-the-city,Women and the City: Bristol 1373-2000 - Default Title,2,9781908326317,0,15.00,0.0,Books,Online from M Shed
954723303429,wonderland-a-year-in-britain-s-wildlife,Wonderland: A Year in Britain’s wildlife - Default Title,3,9781473609242,6,20.00,11.0,Books,Heritage Books
26407753029,bracelet-wooden-1-50,Wooden Bracelet £1.50 - Default Title,25,PK85,38,1.50,0.62,Souvenirs,British Fossils
26403898629,wooden-clockwork-train,Wooden Clockwork Train - Default Title,0,220056,14,4.00,1.6,Kids,House of Marbles
8210716459059,wooden-pencil-set-triceratops,Wooden Pencil Set Triceratops - Default Title,10,WPSWLDIN003,0,6.75,1.65,Kids,Customworks
43437502085,world-map-marble-extra-large,World Map Marble Extra Large 60mm - Default Title,0,139152,14,7.00,2.8,Kids,House of Marbles
43437606277,world-map-marble-large-40mm,World Map Marble Large 40mm - Default Title,0,139153,12,3.50,1.6,Kids,House of Marbles
40903705477,world-wide-stamp,World wide Stamp - Default Title,-1,"",252,1.17,0.0,Stamps,Universal stamps
223556796421,wow-what-a-wonderful-christmas-tree-christmas-pack,Wow What a Wonderful Christmas Tree Christmas Pack - Default Title,3,CDP 26X/5,5,5.00,0.0,Stationary and Greeting cards,Canns Down Press Ltd
30911150469,wow-bristol-coaster-jenny-urquhart,Wow! Bristol Coaster by Jenny Urquhart - Default Title,0,JU-CTR-WOW,0,3.75,0.0,Home,Online from M Shed
30912722565,wow-bristol-fridge-magnet-jenny-urquhart,Wow! Bristol Fridge Magnet Jenny Urquhart - Default Title,1,JU-MAG-WOW,1,3.50,0.0,Gifts,Online from M Shed
30961825413,wow-bristol-print-jenny-urquhart,Wow! Bristol Print Jenny Urquhart - Default Title,2,JU-PRT-L-WOW,0,40.00,0.0,Prints,Online from M Shed
26429023173,emmeline-simpson-wrapping-paper-balloon-or-map,Wrapping Paper balloon or map - Default Title,52,GW001T,11,2.50,0.85,Stationary and Greeting cards,Emmeline Simpson
31256908357,written-in-stone,Written in Stone - Default Title,4,9781785782015,10,8.99,0.0,Books,Heritage Books
26787935109,x-large-marble,X-Large Marble - Default Title,103,"",1336,1.00,0.42,Kids,House of Marbles
26403898693,yacht-little-box-game,Yacht. Little Box Game - Default Title,1,"",0,4.00,1.6,Kids,House of Marbles
26404181573,stretchy-man,Yellow Stretchy Man - Default Title,199,PT08,1385,0.50,0.15,Kids,Keycraft
7227696087091,zig-and-the-flying-doctors,Zig and the Flying Doctors - Default Title,3,9781407173504,7,6.99,0.0,Books,Heritage Books
7359344148531,1-donation,£1 donation - Default Title,-3310,"",3306,1.00,0.0,Donation,Bristol Culture
43160848773,1-locker,£1 Locker - Default Title,-5558,"",5558,1.00,0.0,Bespoke,Bristol Culture
7175376928819,riot-the-bristol-bridge-massacre-of-1793,“Riot!” The Bristol Bridge Massacre of 1793. - Default Title,13,"",2,12.00,0.0,Books,Tangent Books
26406325125,the-art-of-aardman,The Art of Aardman - Default Title,11,9781471161285,29,16.99,9.344666667,Books,Heritage Books
37438107077,portrait-of-the-artist-with-her-mother,The Artist and her Mother Print K1064 - Default Title,1,"",0,10.00,0.0,Prints,Bristol Culture
26406300933,the-banksy-q,The Banksy Q - Default Title,5,9781906477424,19,12.00,7.2,Books,Tangent Books
26406325253,the-big-book-of-bugs,The Big Book of Bugs - Default Title,4,9780500650677,14,12.95,7.1225,Books,Heritage Books
43498761413,the-book-of-the-bird,The Book of the Bird: Birds in Art - Default Title,3,9781780677507,19,12.95,0.0,Books,Heritage Books
