Variant ID,Product Handle,Title,Quantity,SKU,Number Sold,Price,Cost Price,Product Type,Vendor
34926110285,women-of-britain-magnet-1wm2763-mag,Women Of Britain Magnet - 1WM2763 MAG - Default Title,8,1,2,3,1.04,Souvenirs,Star Editions
34926110477,women-of-britain-mug-iwm2763,Women of Britain Mug IWM2763 - Default Title,4,,0,3.75,2.91,Souvenirs,Star Editions
34936744333,wood-balloon-powered-boat,Wood Balloon Powered Boat - Default Title,10,WD158,2,6,2.5,Kids,Keycraft
34935509197,wood-flexi-pirate,Wood Flexi Pirate - Default Title,6,WD198,6,3,1.25,Kids,Keycraft
34938219725,wooden-bead-necklace,Wooden Bead Necklace - Default Title,64,1,5,1.5,0.42,Kids,Ashwood
34932685133,wooden-bracelet,Wooden Bracelet - Default Title,0,,1,1,0.5,Kids,Keycraft
34933170253,wooden-yoyo,Wooden Yoyo - Default Title,11,222004,7,1,0.4,Kids,House of Marbles
34942301645,world-wide-stamp,World Wide Stamp - Default Title,-2,1,26,1.17,0.95,Stamps,Universal Stamps
34938219789,yellow-bendy-man,Yellow Bendy Man - Default Title,17,1,58,0.5,0.1,Kids,Ashwood
34944309453,you-is-well-fit-mji587,You Is Well Fit - Default Title,2,,3,2.5,0.95,Stationary and Greeting cards,Art Angels
35534164685,you-make-my-cardiac-muscle-pump,You Make My Cardiac Muscle Pump - Default Title,0,,4,3,0,Stationary and Greeting cards,Charlotte Clark
34944186893,zippy-zip-it-keyring,Zippy Zip It Keyring - Default Title,9,17630,1,1.5,1.27,Souvenirs,WG Retro
34938868173,rose-gold-cluster-necklace,Rose Gold Cluster Necklace - Default Title,1,CN008,0,25,8.99,Fashion including jewellery,Carrie Elspeth
34938868237,rose-gold-heart-cluster-ear-rings,Rose Gold Heart Cluster Ear Rings - Default Title,1,CE008,0,12.5,7.99,Fashion including jewellery,Carrie Elspeth
34940598093,rose-print-stone-scarf,Rose Print - Stone Scarf - Default Title,10,PRI48,0,20,8.33,Fashion including jewellery,Powder Design Ltd
34931203405,rspb-childerns-nature-watching-book-7-99,RSPB Childern's Nature Watching Book £7.99 - Default Title,5,,0,7.99,4.3945,Books,Heritage Books
